Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
Pyanowski,Sammie,22,2B,RICH,A,R,R,3.70,5.55,4.81,3.17,0.985,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,600,141,13,4,0,50,52,0.241,0.301,0.284,0.228,0.284,0.257,0.391,0.403,0.206,0.70,2.72,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.542,0.676,0.354,0.521,0.643,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.50,
Bennett,Jackson,22,RF,FA,A,R,R,4.81,5.04,5.52,5.81,0.976,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,142,29,3,2,67,87,0.241,0.320,0.314,0.232,0.308,0.296,0.292,0.427,0.281,0.66,1.84,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,44.01,
Jacques,Garrett,19,P,IDA,AA,R,R,2.10,8.99,4.92,3.62,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,2,0,0,5,35,0.157,0.199,0.184,0.143,0.181,0.156,0.268,0.400,0.332,0.73,4.29,600,163,39,4,22,62,120,Fastball,0.31,0.256,0.326,0.452,0.244,0.310,0.428,Slider,0.25,0.276,0.346,0.473,0.264,0.330,0.448,Changeup,0.21,0.290,0.360,0.486,0.278,0.344,0.462,Forkball,0.23,0.300,0.370,0.496,0.288,0.354,0.472,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,57.11,
Lockhart,Sean,29,P,FA,A,R,R,1.98,8.73,3.15,2.84,0.980,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,4,0,0,6,32,0.158,0.209,0.207,0.142,0.187,0.173,0.291,0.470,0.239,0.73,5.19,600,151,33,4,19,56,131,Fastball,0.24,0.226,0.291,0.396,0.209,0.270,0.362,Curve,0.23,0.246,0.311,0.416,0.229,0.290,0.382,Slider,0.11,0.268,0.334,0.439,0.252,0.313,0.405,Changeup,0.14,0.274,0.340,0.444,0.257,0.318,0.410,Split Finger,0.14,0.284,0.350,0.454,0.267,0.328,0.420,Sinker,0.14,0.295,0.361,0.466,0.278,0.340,0.432,75.63,
Scurvy,Buck,21,P,LAKE,AA,L,R,2.78,8.54,2.13,3.26,0.987,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,1,1,3,39,0.143,0.166,0.216,0.157,0.183,0.244,0.377,0.417,0.206,0.66,8.00,600,143,27,3,16,46,177,Fastball,0.31,0.225,0.281,0.367,0.207,0.258,0.331,Slider,0.21,0.246,0.302,0.387,0.228,0.279,0.352,Changeup,0.28,0.255,0.312,0.397,0.237,0.289,0.361,Forkball,0.20,0.272,0.328,0.414,0.254,0.305,0.378,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,60.58,
Ingram,Ernie,21,P,FA,A,R,R,2.75,8.51,4.41,2.90,0.985,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,0,5,34,0.149,0.192,0.208,0.131,0.170,0.172,0.220,0.480,0.300,0.68,8.00,600,193,40,4,23,72,159,Fastball,0.39,0.313,0.387,0.520,0.298,0.368,0.490,Curve,0.37,0.333,0.407,0.540,0.318,0.388,0.510,Changeup,0.24,0.350,0.425,0.557,0.335,0.405,0.527,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,39.27,
Dennison,Tom,21,SS,ROCK,A,R,R,5.43,8.54,8.20,6.07,0.994,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,137,9,4,0,49,38,0.233,0.292,0.266,0.223,0.280,0.247,0.334,0.491,0.175,0.73,1.81,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.46,
O'Connor,Ahmad,20,P,SCRN,AA,L,L,1.21,8.45,2.38,3.20,0.983,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,4,25,0.122,0.153,0.204,0.138,0.174,0.236,0.266,0.471,0.263,0.47,5.55,600,165,26,3,15,43,80,Fastball,0.26,0.244,0.291,0.367,0.257,0.307,0.392,Slider,0.25,0.264,0.311,0.387,0.277,0.327,0.412,Changeup,0.22,0.278,0.325,0.400,0.290,0.341,0.426,Forkball,0.27,0.286,0.333,0.409,0.299,0.349,0.434,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,53.65,
Stewart,Randy,23,LF,FA,A,L,L,2.66,2.00,1.25,1.01,0.991,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,600,165,26,3,3,29,23,0.266,0.298,0.324,0.283,0.320,0.357,0.207,0.448,0.344,0.57,2.61,84,30,8,1,5,30,6,Fastball,1.00,0.359,0.528,0.654,0.365,0.535,0.665,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,55.04,
Kamoze,Ini,22,2B,ROME,AA,R,R,2.69,7.19,3.76,2.60,0.987,0.00,0.00,0.00,0.69,1.00,0.00,0.00,0.00,0.00,600,170,32,4,25,92,90,0.290,0.387,0.490,0.276,0.369,0.462,0.389,0.485,0.126,0.46,1.71,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.674,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Parrish,John,24,SS,CHES,AA,L,R,4.50,6.69,6.70,4.41,0.996,0.00,0.00,0.00,1.00,0.00,0.65,0.00,0.00,0.00,600,157,36,3,10,64,64,0.254,0.322,0.367,0.270,0.343,0.400,0.372,0.504,0.125,0.58,1.46,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.97,
Pederson,Jim,29,P,MIDL,ML,L,L,1.04,8.28,4.40,2.23,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,1,0,4,24,0.153,0.184,0.196,0.167,0.201,0.224,0.408,0.397,0.195,0.72,4.43,600,154,24,3,14,43,74,Fastball,0.32,0.229,0.278,0.342,0.238,0.289,0.360,Curve,0.29,0.249,0.298,0.362,0.258,0.309,0.380,Changeup,0.25,0.263,0.312,0.376,0.272,0.323,0.393,Sinker,0.14,0.288,0.337,0.401,0.296,0.348,0.418,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,49.59,
Dotson,Bryan,25,P,AUCK,AA,R,R,2.58,8.93,3.32,3.96,0.986,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,3,0,0,4,20,0.168,0.202,0.205,0.152,0.183,0.175,0.226,0.485,0.289,0.61,8.00,600,157,41,5,24,51,196,Fastball,0.34,0.251,0.311,0.462,0.237,0.293,0.435,Curve,0.33,0.271,0.331,0.482,0.257,0.313,0.455,Slider,0.33,0.283,0.344,0.495,0.270,0.326,0.467,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.92,
Tang,Nathan,31,P,OMA,ML,L,L,3.55,8.75,3.63,2.34,0.993,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,3,1,0,3,26,0.130,0.153,0.170,0.150,0.178,0.210,0.146,0.604,0.251,0.67,5.91,600,152,21,2,12,41,113,Fastball,0.58,0.236,0.282,0.330,0.252,0.302,0.361,Curve,0.42,0.257,0.303,0.351,0.273,0.323,0.382,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,51.44,
Vanhaitsma,Ben,34,3B,FA,A,R,R,4.02,6.39,5.56,3.76,0.993,0.00,0.01,0.35,1.00,1.00,1.00,0.00,0.00,0.29,600,189,37,5,9,30,37,0.322,0.357,0.451,0.309,0.340,0.425,0.177,0.553,0.271,0.53,2.48,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.676,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Anders,Tuan,26,RF,PORT,ML,R,R,3.22,5.84,3.50,4.35,0.993,0.00,0.00,0.57,1.00,1.00,0.00,0.03,1.00,1.00,600,162,37,3,15,72,82,0.276,0.356,0.431,0.264,0.340,0.406,0.447,0.339,0.214,0.58,1.82,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.80,
Sieracki,Don,26,P,MAIN,ML,R,R,3.55,8.80,2.15,3.38,0.989,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,2,0,0,6,23,0.146,0.197,0.173,0.134,0.180,0.147,0.287,0.534,0.179,0.67,8.00,600,163,32,3,18,35,112,Fastball,0.39,0.262,0.303,0.424,0.250,0.288,0.400,Curve,0.37,0.282,0.324,0.444,0.270,0.308,0.420,Changeup,0.24,0.299,0.341,0.461,0.287,0.326,0.437,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,57.43,
Bibian,Elton,22,C,FA,A,R,R,1.43,3.80,1.33,1.01,0.987,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,133,32,3,4,48,43,0.230,0.290,0.320,0.214,0.270,0.289,0.368,0.453,0.179,0.65,1.65,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,43.84,
Gasca,Rey,22,1B,SF,A,R,R,1.89,3.06,1.07,0.91,0.993,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,159,27,2,10,37,68,0.272,0.316,0.380,0.258,0.298,0.352,0.266,0.510,0.224,0.61,1.24,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.09,
Rouse,Winfred,25,P,ELP,AAA,R,R,1.96,9.22,2.24,3.07,0.987,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,3,43,0.137,0.165,0.234,0.123,0.146,0.206,0.499,0.329,0.172,0.67,6.16,600,155,33,4,19,48,145,Fastball,0.24,0.236,0.293,0.408,0.221,0.274,0.378,Curve,0.16,0.257,0.314,0.428,0.242,0.295,0.399,Slider,0.19,0.267,0.325,0.439,0.253,0.306,0.409,Changeup,0.24,0.276,0.333,0.447,0.261,0.314,0.418,Sinker,0.17,0.294,0.351,0.465,0.279,0.332,0.435,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,48.64,
Aarons,Mal,27,1B,DAY,ML,R,R,2.52,1.14,1.12,0.92,0.973,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,173,22,4,45,90,137,0.294,0.389,0.577,0.281,0.372,0.550,0.431,0.361,0.208,0.50,1.57,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,50.29,
Milley,Leon,18,2B,CASP,A,R,R,4.78,5.79,6.86,6.48,0.981,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,600,120,24,3,2,64,121,0.205,0.284,0.268,0.197,0.273,0.252,0.283,0.390,0.327,0.66,2.29,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,41.44,
Almeida,Peter,21,LF,FA,A,L,R,3.22,4.49,1.73,2.00,0.987,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,600,147,23,3,2,24,55,0.240,0.267,0.293,0.252,0.283,0.317,0.344,0.504,0.153,0.63,2.40,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.541,0.674,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,40.83,
Wallick,Richard,20,3B,FRIS,A,S,R,2.55,6.28,3.51,2.37,0.997,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,173,31,3,26,70,58,0.289,0.364,0.481,0.286,0.361,0.478,0.484,0.382,0.135,0.51,1.18,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,34.60,
Sieg,Rubin,22,P,SCRN,AA,R,R,1.00,8.94,4.85,2.95,0.994,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,16,2,0,1,3,29,0.167,0.194,0.224,0.153,0.175,0.196,0.245,0.464,0.291,0.73,6.26,600,166,35,4,20,29,122,Fastball,0.48,0.269,0.304,0.448,0.255,0.286,0.419,Curve,0.37,0.290,0.325,0.469,0.275,0.306,0.440,Forkball,0.15,0.318,0.353,0.497,0.303,0.334,0.468,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,66.58,
Vayda,Martin,18,SS,FA,A,R,R,3.11,4.61,6.38,6.03,0.973,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,156,33,1,4,26,53,0.268,0.300,0.354,0.253,0.281,0.323,0.248,0.440,0.311,0.73,1.38,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,73.39,
Dawson,Bill,20,LF,LYNC,A,L,R,4.05,3.25,4.68,5.57,0.993,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,600,180,30,5,14,53,93,0.291,0.346,0.420,0.308,0.368,0.453,0.331,0.508,0.161,0.46,2.26,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.542,0.677,0.354,0.521,0.643,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,51.92,
Diaz,Luka,32,P,IDA,A,R,R,3.39,8.80,2.75,2.82,0.989,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,15,3,0,0,3,41,0.159,0.187,0.198,0.141,0.163,0.162,0.284,0.398,0.318,0.73,5.44,600,158,16,2,9,58,120,Fastball,0.21,0.243,0.309,0.328,0.232,0.295,0.308,Curve,0.21,0.263,0.329,0.348,0.252,0.315,0.328,Slider,0.25,0.274,0.340,0.360,0.263,0.327,0.339,Changeup,0.33,0.283,0.349,0.369,0.273,0.336,0.348,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,59.06,
Cerecedes,Damon,27,RF,ROCK,ML,L,L,2.10,2.08,1.96,1.65,0.995,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.37,1.00,600,169,25,4,34,69,94,0.273,0.344,0.491,0.291,0.368,0.528,0.431,0.335,0.234,0.59,1.45,84,30,8,1,5,30,6,Fastball,1.00,0.354,0.521,0.644,0.370,0.541,0.675,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,39.40,
Gagner,Brian,21,CF,ROME,A,R,R,3.41,4.10,3.18,3.91,0.969,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,600,138,17,3,1,75,70,0.237,0.324,0.287,0.223,0.306,0.259,0.301,0.308,0.392,0.73,2.79,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,34.82,
Colter,Toots,31,SS,MAHO,ML,R,R,3.87,6.79,5.29,5.02,0.998,0.00,0.00,0.07,1.00,1.00,1.00,1.00,0.00,0.80,600,184,11,5,2,30,19,0.314,0.349,0.367,0.299,0.330,0.339,0.473,0.395,0.132,0.64,2.02,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.543,0.678,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Hill,Orlando,22,RF,MAHO,A,R,R,3.36,8.01,4.00,4.37,0.992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,600,146,18,6,3,23,78,0.251,0.281,0.324,0.236,0.261,0.294,0.292,0.451,0.257,0.69,1.45,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Gula,Ron,19,P,LAKE,A,R,R,1.97,8.84,4.26,3.51,0.987,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,13,4,1,1,6,40,0.136,0.187,0.232,0.124,0.172,0.208,0.289,0.532,0.179,0.61,3.15,600,175,55,6,32,45,136,Fastball,0.37,0.277,0.328,0.552,0.263,0.311,0.526,Curve,0.20,0.299,0.350,0.574,0.285,0.333,0.548,Slider,0.23,0.309,0.360,0.584,0.295,0.343,0.558,Changeup,0.20,0.322,0.373,0.598,0.309,0.356,0.572,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.87,
Phifer,Jason,23,3B,FA,A,R,R,3.45,7.31,3.93,3.34,0.997,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,600,146,26,1,15,30,147,0.251,0.290,0.382,0.236,0.270,0.351,0.401,0.334,0.265,0.73,2.28,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.524,0.648,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,58.95,
Bond,Milt,21,SS,FA,A,R,R,3.25,5.68,5.62,4.88,0.998,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,600,137,19,0,0,44,79,0.236,0.291,0.275,0.222,0.272,0.245,0.447,0.375,0.178,0.54,2.90,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.542,0.677,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,37.76,
Croghan,Carlos,33,RF,AUCK,AAA,R,R,5.81,6.38,6.21,4.93,0.988,0.00,0.00,0.04,1.00,1.00,1.00,0.00,1.00,1.00,600,175,38,1,4,29,51,0.300,0.335,0.396,0.285,0.315,0.366,0.264,0.455,0.281,0.56,2.65,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.355,0.522,0.645,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.60,
Goetsch,Andres,23,P,RICH,AA,L,L,2.73,8.60,4.92,3.48,0.980,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,1,0,3,26,0.137,0.161,0.194,0.143,0.169,0.206,0.282,0.420,0.298,0.65,8.00,600,163,28,3,16,68,95,Fastball,0.30,0.246,0.319,0.379,0.254,0.329,0.396,Curve,0.21,0.266,0.339,0.400,0.274,0.350,0.416,Changeup,0.33,0.275,0.348,0.409,0.283,0.359,0.425,Forkball,0.17,0.299,0.372,0.432,0.307,0.382,0.449,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,75.36,
Wangler,Jeromy,34,P,AUCK,AAA,R,R,1.47,8.74,2.81,3.76,0.987,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100,14,4,0,0,6,25,0.145,0.195,0.190,0.135,0.182,0.170,0.321,0.377,0.302,0.50,7.89,600,156,34,4,20,57,112,Fastball,0.37,0.246,0.312,0.422,0.233,0.295,0.395,Changeup,0.30,0.266,0.332,0.442,0.253,0.315,0.416,Sinker,0.12,0.294,0.359,0.469,0.281,0.343,0.443,Forkball,0.22,0.290,0.356,0.466,0.277,0.339,0.440,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,47.05,
